,Bedroom_AbvGr,BsmtFin_SF_1,BsmtFin_SF_2,BsmtFin_Type_1,BsmtFin_Type_2,Bsmt_Cond,Bsmt_Exposure,Bsmt_Qual,Bsmt_Unf_SF,Electrical,Enclosed_Porch,Exter_Cond,Exter_Qual,Fireplace_Qu,Fireplaces,First_Flr_SF,Garage_Area,Garage_Cars,Garage_Finish,Garage_Qual,Gr_Liv_Area,Kitchen_Qual,Lot_Area,Lot_Frontage,Low_Qual_Fin_SF,Mas_Vnr_Area,Open_Porch_SF,Overall_Cond,Overall_Qual,Paved_Drive,Pool_Area,Screen_Porch,Second_Flr_SF,Three_season_porch,TotRms_AbvGrd,Total_Bsmt_SF,Utilities,Wood_Deck_SF,Has_Pool,Total_Bath,Has_garage,Has_Alley,Has_Basement,Has_Fireplace,Has_Fence,Is_Remodeled,House_Age,Total_SF,close_to_park,close_to_street,close_to_railroad,Regular_Lot_Shape,Irregular_Lot_Shape,Residential_Zoning,Commercial_Zoning,Industrial_Zoning,Agricultural_Zoning,Bldg_Type_OneFam,Bldg_Type_Twnhs,Bldg_Type_TwnhsE,Bldg_Type_TwoFmCon,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,House_Style_One_and_Half_Fin,House_Style_One_and_Half_Unf,House_Style_SFoyer,House_Style_SLvl,House_Style_Two_Story,House_Style_Two_and_Half_Fin,House_Style_Two_and_Half_Unf,Land_Contour_HLS,Land_Contour_Low,Land_Contour_Lvl,Neighborhood_Blueste,Neighborhood_Briardale,Neighborhood_Brookside,Neighborhood_Clear_Creek,Neighborhood_College_Creek,Neighborhood_Crawford,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Green_Hills,Neighborhood_Greens,Neighborhood_Iowa_DOT_and_Rail_Road,Neighborhood_Landmark,Neighborhood_Meadow_Village,Neighborhood_Mitchell,Neighborhood_North_Ames,Neighborhood_Northpark_Villa,Neighborhood_Northridge,Neighborhood_Northridge_Heights,Neighborhood_Northwest_Ames,Neighborhood_Old_Town,Neighborhood_Sawyer,Neighborhood_Sawyer_West,Neighborhood_Somerset,Neighborhood_South_and_West_of_Iowa_State_University,Neighborhood_Stone_Brook,Neighborhood_Timberland,Neighborhood_Veenker,Roof_Style_Gable,Roof_Style_Gambrel,Roof_Style_Hip,Roof_Style_Mansard,Roof_Style_Shed,Sale_Condition_AdjLand,Sale_Condition_Alloca,Sale_Condition_Family,Sale_Condition_Normal,Sale_Condition_Partial,Street_Pave,anomaly
1141,3,7,0,1,1,3,4,5,1824,5,0,2,4,4,1,1824,932,3,3,3,1824,4,12633,85,0,242,36,10,10,2,0,108,0,0,8,1824,3,160,0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1,5675,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,-1
1225,4,7,0,1,1,3,1,3,925,3,264,2,1,4,1,964,308,1,1,3,1889,2,10120,60,0,0,0,4,7,0,0,0,925,0,9,925,3,0,0,1.5,1.0,0.0,1.0,1.0,1.0,1.0,97,3746,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
1296,2,5,0,0,0,0,0,0,0,5,100,2,2,0,0,660,0,0,0,0,660,1,9000,0,0,0,0,2,2,0,0,0,0,0,5,0,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,62,665,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
1402,3,1,497,5,4,3,4,4,228,5,0,1,3,3,4,2151,550,2,2,3,2646,3,14330,100,0,145,100,4,7,2,800,0,495,0,9,1748,3,641,1,4.0,1.0,0.0,1.0,1.0,1.0,0.0,32,5861,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,-1
1441,3,5,0,0,0,0,0,0,0,4,210,2,2,0,0,694,0,0,0,0,1294,2,10800,60,0,0,114,7,4,0,0,0,600,0,7,0,3,220,0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,108,1633,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
1502,1,5,0,0,0,0,0,0,0,3,0,1,1,0,0,334,0,0,0,0,334,1,5000,50,0,0,0,3,1,0,0,0,0,0,2,0,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,61,339,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
1532,4,3,0,6,1,3,3,5,300,5,0,2,3,3,2,2411,813,3,3,3,4476,4,15623,160,0,0,78,10,10,2,555,0,2065,0,10,2396,3,171,1,4.5,1.0,0.0,1.0,1.0,1.0,0.0,11,7424,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
1536,2,3,0,6,1,3,4,5,1085,5,0,2,4,4,2,5095,1154,3,3,3,5095,4,39290,128,0,1224,484,10,10,2,0,0,0,0,15,5095,3,546,0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,-1,12308,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,-1
1632,1,5,0,0,0,0,0,0,0,4,0,1,1,0,0,810,280,1,1,3,810,2,21780,109,0,0,24,4,2,0,0,0,0,0,4,0,2,119,0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,99,958,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1
1633,4,1,0,5,1,3,4,4,234,5,0,2,4,4,1,1690,841,3,3,3,3279,4,53504,47,0,603,36,10,8,2,0,210,1589,0,12,1650,3,503,0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,7,5703,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,-1
1682,8,4,0,2,1,2,1,3,1184,4,0,2,1,0,0,1440,0,0,0,0,3395,1,10896,60,515,0,110,7,6,0,0,0,1440,0,14,1440,3,0,0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,93,6133,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
1712,5,7,0,1,1,3,1,3,658,5,0,1,2,0,0,658,0,0,0,0,1184,2,8410,58,0,0,151,3,10,0,0,0,526,0,8,658,3,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,96,2658,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
1765,3,7,0,1,1,2,1,3,536,3,204,1,1,0,0,808,0,0,0,0,1344,2,10320,60,0,0,0,3,3,0,0,0,536,0,8,536,3,42,0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,93,2465,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,-1
1837,3,3,0,6,1,3,4,5,878,5,0,2,4,4,1,3138,884,3,3,3,4676,4,40094,130,0,762,406,10,10,2,0,0,1538,0,11,3138,3,208,0,4.5,1.0,0.0,1.0,1.0,0.0,1.0,0,9309,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,-1
1865,2,5,0,0,0,0,0,0,0,5,23,2,2,0,0,729,0,0,0,0,729,2,12366,69,0,0,0,10,3,0,0,0,0,0,5,0,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,61,734,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1
1868,1,2,63,4,3,2,3,4,46,5,105,3,2,0,0,892,0,0,0,0,892,3,5160,86,0,0,0,6,4,0,0,160,0,0,5,858,3,0,0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,86,1861,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-1
1896,6,6,0,3,1,3,2,3,925,4,240,2,2,0,0,1296,0,0,0,0,2592,2,10890,60,0,0,742,6,10,2,0,0,1296,0,12,1296,3,0,0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,84,5561,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,-1
